Date,Distance driven (km),Driving time (h),Average speed (km/h)
2016-02-05,9,00:18,31
2016-02-06,12,00:30,24
2016-02-28,35,01:10,30
2016-03-05,40,00:56,43
2016-03-08,9,00:22,26
2016-03-09,18,00:33,32
2016-07-02,3,00:12,19
2016-07-04,6,00:17,22
2016-08-23,11,00:33,20
2016-09-08,8,00:16,32
2016-09-15,9,00:15,34
2016-09-26,11,00:27,25
2016-10-01,9,00:13,40
2016-10-12,3,00:09,22
2016-10-13,16,00:33,30
2016-10-24,15,00:35,26
2016-10-28,9,00:16,33
2016-11-14,11,00:30,24
2016-11-26,9,00:16,33
2016-12-08,9,00:18,30
2016-12-10,9,00:15,35
2017-03-11,9,00:17,33
2017-03-18,9,00:14,38
2017-03-20,12,00:30,24
2017-03-30,8,00:16,33
2017-04-01,9,00:14,37
2017-05-28,9,00:21,27
2017-06-26,8,00:32,15
2017-07-12,9,00:20,28
2017-07-27,3,00:07,28
2017-08-09,9,00:16,34
2017-08-17,9,00:14,40
2017-08-18,9,00:14,39
2017-08-26,9,00:15,36
2017-09-14,8,00:14,38
2017-10-14,22,00:35,37
2017-10-15,32,01:01,32
2017-10-15,9,00:18,30
2017-10-18,33,00:37,53
2017-10-19,9,00:17,33
2017-10-25,9,00:18,31
2017-10-29,9,00:21,26
2017-11-01,54,01:10,46
2017-11-02,9,00:16,33
2017-11-08,9,00:20,26
2017-11-24,32,00:34,57
2017-12-01,32,00:40,47
2017-12-07,9,00:29,19
2017-12-08,31,00:42,45
2017-12-09,9,00:15,35
2017-12-14,9,00:18,30
