Date,"Average consumption, electric (kWh/100km)",Distance driven (km),Driving time (h),Average speed (km/h)
2016-02-04,41,3,00:11,18
2016-02-04,54.7,2,00:08,21
2016-02-05,32.1,68,01:59,35
2016-02-06,37.1,30,01:10,26
2016-02-07,44.3,13,00:32,24
2016-02-07,34.4,22,00:39,35
2016-02-08,50.4,17,01:00,18
2016-02-08,41.4,3,00:11,19
2016-02-09,40.6,6,00:22,18
2016-02-09,38.3,6,00:16,25
2016-02-10,46,2,00:12,14
2016-02-10,42.2,13,00:36,22
2016-02-11,34.7,33,01:25,24
2016-02-11,37.3,9,00:17,32
2016-02-12,37.8,9,00:19,28
2016-02-13,68.6,1,00:08,12
2016-02-13,34.1,9,00:18,31
2016-02-14,78.9,1,00:11,10
2016-02-14,36.6,13,00:32,24
2016-02-14,39.7,9,00:18,30
2016-02-15,47.4,16,00:57,17
2016-02-16,28.5,7,00:15,28
2016-02-16,35.3,6,00:11,35
2016-02-18,35,6,00:16,24
2016-02-18,33.2,9,00:19,28
2016-02-18,28.9,12,00:20,35
2016-02-19,28.7,35,01:30,24
2016-02-19,28,31,00:55,34
2016-02-20,34.7,13,00:31,25
2016-02-21,33.3,15,00:37,25
2016-02-21,35.7,9,00:14,37
2016-02-22,36,19,01:08,17
2016-02-23,30.8,15,00:40,23
2016-02-23,35.3,6,00:14,26
2016-02-24,27.7,2,00:09,18
2016-02-24,42.2,2,00:08,20
2016-02-25,43,7,00:24,19
2016-02-26,52.8,3,00:12,15
2016-02-26,33.8,9,00:18,29
2016-02-27,37.5,12,00:31,24
2016-02-27,39.3,23,00:54,25
2016-02-28,34.5,12,00:23,32
2016-02-28,30,34,00:47,44
2016-02-29,35.9,39,01:06,35
2016-02-29,25.3,37,00:36,63
2016-03-01,44.1,15,01:15,13
2016-03-02,39.7,6,00:19,19
2016-03-02,26.6,31,01:01,31
2016-03-02,25.6,41,01:11,35
2016-03-03,33.4,12,00:28,27
2016-03-03,33.1,21,00:46,28
2016-03-03,25,9,00:16,33
2016-03-04,27.3,31,01:06,29
2016-03-04,23.4,31,00:41,46
2016-03-05,24.9,31,01:10,27
2016-03-06,34.7,9,00:19,28
2016-03-06,32.4,9,00:18,31
2016-03-07,39.8,11,00:36,18
2016-03-07,33.2,11,00:33,21
2016-03-09,29.4,6,00:16,23
2016-03-10,34.4,9,00:21,26
2016-03-10,29.4,31,00:36,51
2016-03-10,28.5,31,00:36,53
2016-03-11,33.5,9,00:19,28
2016-03-12,33.5,13,00:30,27
2016-03-12,27.8,31,00:37,51
2016-03-12,29.4,31,00:30,62
2016-03-13,33.3,9,00:16,33
2016-03-13,32.6,9,00:15,35
2016-03-14,59.2,1,00:03,19
2016-03-14,42.8,5,00:11,28
2016-03-20,48.6,7,00:23,19
2016-03-25,33.2,8,00:13,41
2016-03-30,47.2,7,00:20,22
2016-04-08,37.9,11,00:32,21
2016-04-19,40.9,11,00:29,23
2016-04-24,32.2,8,00:15,36
2016-05-03,40.5,7,00:19,22
2016-05-21,40.1,12,01:05,12
2016-05-21,25.8,11,00:14,47
2016-05-31,26.1,21,00:46,28
2016-06-02,25.5,14,00:17,50
2016-06-14,25.4,13,00:33,24
2016-06-14,26.3,6,00:15,27
2016-06-19,24,20,00:31,40
2016-06-21,29.1,6,00:13,28
2016-06-23,27.9,7,00:16,28
2016-06-28,28.3,13,00:35,24
2016-07-04,28.3,11,00:28,25
2016-07-04,25.1,91,00:57,95
2016-07-11,31.4,11,00:45,16
2016-07-17,40.2,1,00:07,14
2016-07-20,24.3,32,00:37,52
2016-07-21,24.3,24,00:28,52
2016-07-21,23.3,24,00:24,62
2016-07-22,24.7,24,00:26,56
2016-07-23,22.6,24,00:29,50
2016-07-23,23.9,24,00:24,61
2016-07-26,34.8,11,00:39,18
2016-07-29,32.9,5,00:34,9
2016-08-01,26.3,11,00:33,21
2016-08-01,32.7,6,00:15,25
2016-08-09,27.6,26,01:04,24
2016-08-11,33.5,5,00:37,8
2016-08-15,91.6,1,00:52,2
2016-08-17,44.9,1,00:06,15
2016-08-22,29,13,00:34,24
2016-08-30,38.5,3,00:08,23
2016-09-05,24.9,53,01:38,33
2016-09-06,28.7,7,00:20,21
2016-09-09,24.9,9,00:15,34
2016-09-10,26.9,5,00:13,22
2016-09-10,24,9,00:14,39
2016-09-11,24.7,9,00:17,31
2016-09-12,30,11,00:32,21
2016-09-15,23.7,9,00:17,30
2016-09-16,24,8,00:14,37
2016-09-17,26.4,9,00:17,32
2016-09-18,25.4,9,00:19,29
2016-09-19,27.7,20,01:10,17
2016-09-21,24.5,9,00:15,35
2016-09-22,24.2,9,00:14,36
2016-09-23,24.1,8,00:15,34
2016-09-24,24.8,9,00:16,33
2016-09-25,26.1,8,00:20,27
2016-09-26,22.8,12,00:22,34
2016-09-27,30.8,3,00:08,21
2016-09-28,25.7,9,00:18,30
2016-09-29,24.6,9,00:16,33
2016-09-30,28.3,9,00:21,25
2016-10-01,29.3,12,00:37,19
2016-10-02,27.8,8,00:17,31
2016-10-03,30.9,5,00:11,26
2016-10-04,28,7,00:18,24
2016-10-06,25.2,8,00:15,34
2016-10-07,25.2,9,00:16,34
2016-10-08,28.6,9,00:19,29
2016-10-08,30.3,8,00:15,35
2016-10-13,30.3,9,00:19,28
2016-10-14,23.4,8,00:14,37
2016-10-15,29.5,9,00:15,36
2016-10-15,25,9,00:14,37
2016-10-16,25.1,9,00:15,36
2016-10-17,28.8,6,00:17,24
2016-10-18,28.7,15,00:46,20
2016-10-19,27.9,9,00:17,32
2016-10-20,32.4,9,00:27,21
2016-10-21,27.3,9,00:17,32
2016-10-22,42.9,5,01:18,4
2016-10-22,27.4,9,00:16,34
2016-10-23,25.4,9,00:17,32
2016-10-26,27.8,9,00:17,30
2016-10-27,31.5,9,00:20,28
